,Question,Actual_Answer,Mod_Response_1,Mod_Response_2,Mod_Response_3,Mod_Response_4,Mod_Response_5
0,is there a more up to date disk for this phone ? also how do you turn off the weird text option . its like predictive it puts words and fragments out .,the worst phone ever,The worst phone ever,The worst buy them,The worst buy ever,The worst buy is fine,The worst buy is
1,does this unit also work off a wall ac outlet ?,just plug it in .,No it does not.,Yes it does.,No it doesnt,,
2,is it waterproof ?,absolutely not,No it is not waterproof.,No it is not.,Yes it is,No it is not water proof,It is not waterproof.
3,does this denture cleaner machine run on batteries and if so what type please thank you,plug into electric outlet,It is electric only.,Only electric,It is electric,Only plug in,
4,what is the expiration date on elecare jr formula cases that you currently have ?,october 2015,06 16,October 2015,06 2015,06 2016,01 16
5,does it have heat as well ?,no .,No heat,No it does not,No.,No heat present or advertised,
6,is it waterproof ? i want a case that if i drop it in the snow or while doing dishes it wont break,no its not water proof,No it is not waterproof,Is it impact resistant,Is this a question?,It is not waterproof,No it is not.
7,is it easy to push down all of the buttons,yes . very easy .,Yes very easy,Yes it is.,Yes very good!,Yes very much,
8,does this include the screen and digitizer ?,yes id does .,Yes it does.,Yes. it does.,Yes. mine did.,Yes! it is included,Yes. everything is included.
9,does it come with 2 covers like the one at costco ?,no . just one .,No. just one.,No. only one.,No.,No it does not.,No...
10,dose this work for the xperia z1 ?,no it is awful,No it is not.,No it does not.,I do not know,No i am not sure,I am not sure
11,the high med low is for water pressure since i read it does not heat ?,no it does not heat,No it does not heat,No it does not.,No it does not heat it,No it does not matter,No it does not have
12,i have a dock already for an iphone 5 . so if i hook this into my iphone with lifeproof case on it is just an extension ? or is it an iphone 4 to 5 pin ?,it is merely an extension .,It is to fit.,It is all 8.,It is all 8. 0,It is to big.,It is over the screen
13,hi . do internet browsing facebook and email work well on this phone ? any issues regarding this ?,yes both work real well .,Yes they work fine,Yes they work perfectly,Yes they work well,Yes they work very well.,They work fine
14,does it have bluetooth ?,no it does not,Yes it does.,Yes it has bluetooth.,No it does not.,Yes it has wifi.,Yes it does have bluetooth
15,can this be used without the guard ?,yes the guard pulls off easily,Yes it can be removed.,Yes the guard pulls off easily,Yes you can.,Yes it can.,Yes easily.
16,what is the serving size ?,i took 3 3 times daily,One capsule a day.,One fish a day,One per day.,One a day.,One capsule per day.
17,how long is the wire connecting the ear buds ?,do not know i retuned them,About an inch,About 1 inch,About a inch,About 7 8 inches,One inch
18,is it a verizon product or sprint ?,verizon .,Verizon phone.,At t,I have a sprint phone.,,
19,does this cell come with dual sim . . ? ?,yes it does,Yes it does,No it does not,Yes mine did.,Yes it does not,Yes.
20,what is travel socks made of ? does it contain wool ?,made of nylon no wool .,Made of nylon no wool.,I have no idea.,I do not know.,They are made of nylon no wool,Made of nylon no plastic
21,how many inches is the bendable gooseneck ?,around 27,11.,Around,Around 27,Around 4,Around 25
22,is this variable speed or just 2 speeds with different heads ?,ten different vibration patterns .,Two per day.,One per pack.,You get a set of two,They come in pairs.,You get a set of 2
